id_articolo,id_ordine,id_linea,codice_partita,numerosequenziale,costo
1,1,9,251,1,21.21
2,1,5,18,2,20.65
3,2,9,379,1,12.15
4,2,2,350,2,10.66
5,3,8,238,1,43.16
6,3,6,7,2,26.75
7,4,4,881,1,16.07
8,4,1,756,2,32.8
9,5,6,545,1,9.1
10,5,2,661,2,27.27
11,6,4,59,1,10.08
12,6,1,617,2,26.56
13,7,7,666,1,12.65
14,7,4,570,2,11.7
15,8,2,537,1,8.36
16,8,4,553,2,34.03
17,9,5,475,1,18.08
18,9,1,532,2,17.69
19,10,5,111,1,26.89
20,10,6,658,2,16.57
21,11,3,747,1,34.8
22,11,4,220,2,31.2
23,12,1,657,1,19.67
24,12,9,633,2,17.23
25,13,7,390,1,34.84
26,13,10,208,2,13.49
27,14,5,892,1,25.35
28,14,1,332,2,12.55
29,15,8,464,1,22.04
30,15,2,333,2,13.92
31,16,4,510,1,27.54
32,16,10,742,2,16.91
33,17,8,483,1,21.14
34,17,1,418,2,23.12
35,18,6,531,1,22.64
36,18,3,183,2,12.05
37,19,1,211,1,37.18
38,19,3,473,2,15.2
39,20,8,606,1,8.75
40,20,5,115,2,15.14
41,21,9,257,1,27.88
42,21,3,602,2,9.3
43,22,3,23,1,18.91
44,22,4,85,2,7.88
45,23,3,126,1,11.63
46,23,7,795,2,18.92
47,24,6,716,1,12.09
48,24,9,55,2,22.02
49,25,1,411,1,13.11
50,25,6,232,2,20.01
51,26,5,44,1,16.28
52,26,7,837,2,13.12
53,27,6,864,1,16.8
54,27,6,953,2,21.8
55,28,5,279,1,7.91
56,28,5,844,2,18.46
57,29,1,818,1,13.97
58,29,2,997,2,14.49
59,30,9,396,1,9.77
60,30,2,540,2,18.04
61,31,3,66,1,24.99
62,31,1,311,2,8.52
63,32,9,982,1,8.35
64,32,2,20,2,15.72
65,33,8,312,1,10.74
66,33,10,980,2,10.14
67,34,2,851,1,11.11
68,34,4,638,2,10.42
69,35,10,294,1,18.41
70,35,6,425,2,15.54
71,36,1,756,1,32.8
72,36,4,553,2,34.03
73,37,3,260,1,9.46
74,37,8,942,2,14.56
75,38,5,18,1,20.65
76,38,7,525,2,42.62
77,39,3,919,1,17.41
78,39,5,69,2,17.85
79,40,5,832,1,26.57
80,40,7,298,2,8.61
81,41,9,55,1,22.02
82,41,1,240,2,24.34
83,42,10,789,1,21.19
84,42,5,810,2,13.29
85,43,7,151,1,9.4
86,43,9,343,2,14.53
87,44,3,539,1,17.89
88,44,10,95,2,31.41
89,45,1,252,1,16.65
