id_ordine,id_cliente,dataordine,numeroarticoli,prezzototale
1,1047,2022-09-03,2,41.86
2,885,2021-03-21,2,22.81
3,768,2022-08-19,2,69.91
4,1434,2020-01-13,2,48.87
5,1442,2023-09-27,2,36.37
6,103,2020-01-02,2,36.64
7,487,2020-06-01,2,24.35
8,1115,2020-05-24,2,42.39
9,1695,2020-10-01,2,35.77
10,1551,2020-05-13,2,43.46
11,615,2023-12-09,2,66.0
12,1752,2021-07-02,2,36.9
13,1439,2020-04-08,2,48.33
14,850,2021-07-31,2,37.9
15,887,2023-12-22,2,35.96
16,1207,2023-05-12,2,44.45
17,1081,2024-04-29,2,44.26
18,280,2021-04-06,2,34.69
19,1660,2020-03-17,2,52.38
20,1300,2022-08-30,2,23.89
21,906,2020-01-28,2,37.18
22,1036,2020-03-17,2,26.79
23,70,2022-11-24,2,30.55
24,1364,2024-06-29,2,34.11
25,1296,2023-09-08,2,33.12
26,1911,2023-01-16,2,29.4
27,1415,2022-07-09,2,38.6
28,1027,2020-03-15,2,26.37
29,350,2024-02-22,2,28.46
30,1055,2022-11-10,2,27.81
31,1032,2024-09-02,2,33.51
32,1485,2022-10-21,2,24.07
33,429,2022-11-15,2,20.88
34,395,2022-12-13,2,21.53
35,1970,2020-01-08,2,33.95
36,1917,2023-07-26,2,66.83
37,1566,2024-07-28,2,24.02
38,12,2022-05-19,2,63.27
39,1800,2023-03-25,2,35.26
40,1791,2024-01-21,2,35.18
41,724,2024-09-14,2,46.36
42,1271,2022-06-02,2,34.48
43,1495,2023-09-06,2,23.93
44,548,2020-10-05,2,49.3
45,187,2020-02-14,2,25.99
46,1002,2021-10-02,2,52.43
47,1779,2022-05-07,2,32.74
48,1238,2020-11-20,2,57.79
49,1432,2025-01-06,2,32.57
50,750,2024-04-11,2,22.42
51,313,2023-10-29,2,33.65
52,1753,2020-06-30,2,43.53
53,678,2023-07-12,2,53.5
54,1890,2022-08-03,2,21.99
55,666,2023-10-06,2,51.74
56,1651,2024-05-08,2,53.9
57,1810,2021-04-06,2,36.07
58,387,2023-10-27,2,34.11
59,1448,2023-07-18,2,33.22
60,294,2023-02-11,2,25.12
61,1412,2020-04-18,2,36.66
62,689,2022-08-21,2,28.17
63,1250,2023-04-14,2,19.03
64,1711,2023-01-25,2,30.31
65,1408,2020-07-13,2,47.34
66,303,2023-05-26,2,32.7
67,1754,2021-08-02,2,50.28
68,817,2022-07-07,2,19.44
69,1887,2020-09-22,2,45.49
70,527,2021-04-28,2,61.48
71,222,2023-06-13,2,41.37
72,608,2022-09-30,2,26.56
73,1880,2021-07-12,2,55.75
74,815,2022-10-25,2,32.5
75,1316,2022-08-08,2,37.74
76,670,2023-12-24,2,25.16
77,156,2021-08-20,2,51.85
78,35,2022-05-26,2,36.88
79,1524,2022-08-27,2,55.32
80,1195,2021-09-12,2,39.26
81,1444,2022-02-25,2,30.95
82,931,2024-01-05,2,36.84
83,1782,2021-09-29,2,29.08
84,1105,2020-02-13,2,34.78
85,1488,2020-12-23,2,51.57
86,1994,2023-04-01,2,37.79
87,108,2024-01-24,2,28.75
88,1639,2022-11-04,2,42.0
89,1741,2023-01-14,2,52.98
90,1922,2024-12-28,2,27.72
91,633,2023-02-09,2,22.98
92,1304,2020-09-22,2,27.35
93,210,2024-05-27,2,38.25
94,538,2021-06-24,2,33.17
95,1734,2021-11-25,2,21.32
96,732,2024-02-21,2,30.58
97,1794,2021-11-10,2,51.39
98,232,2020-09-02,2,38.99
99,1308,2020-04-18,2,22.12
100,348,2024-06-14,2,39.35
101,345,2023-06-06,2,39.0
102,1147,2021-06-14,2,26.75
103,672,2025-01-26,2,36.55
104,158,2023-08-11,2,50.79
105,1270,2020-07-17,2,22.11
106,1208,2022-05-24,2,53.88
107,1935,2022-04-15,2,42.65
108,464,2021-05-04,2,36.99
109,930,2021-11-20,2,39.28
110,531,2021-01-15,2,71.29
111,826,2022-03-04,2,39.56
112,1326,2022-12-14,2,24.4
113,822,2022-02-13,2,53.93
114,1374,2021-05-29,2,15.91
115,1381,2024-08-12,2,33.71
116,947,2024-09-05,2,48.96
117,164,2022-02-01,2,52.15
118,1812,2020-04-15,2,46.99
119,1509,2022-11-27,2,42.33
120,412,2022-03-20,2,45.85
121,456,2023-03-11,2,50.81
122,1973,2022-01-05,2,25.64
123,1480,2021-06-24,2,18.05
124,486,2020-06-19,2,37.09
125,63,2023-11-03,2,51.16
126,1729,2020-01-10,2,47.99
127,332,2022-09-03,2,27.12
128,13,2021-11-02,2,23.4
129,776,2021-10-18,2,40.01
130,1590,2023-09-20,2,27.27
131,1323,2022-12-02,2,34.84
132,1380,2020-08-22,2,37.14
133,459,2020-08-01,2,49.13
134,182,2020-04-24,2,39.68
135,1549,2020-10-02,2,50.19
136,1484,2023-03-12,2,42.06
137,429,2023-12-02,2,39.64
138,488,2024-01-09,2,29.39
139,1067,2022-05-07,2,41.95
140,1332,2024-08-25,2,26.16
141,873,2023-07-19,2,46.33
142,1614,2021-03-24,2,43.77
143,1838,2021-02-03,2,54.95
144,1600,2022-12-26,2,48.82
145,1011,2021-04-18,2,49.51
146,611,2024-10-02,2,38.98
147,1199,2024-09-25,2,27.15
148,211,2020-02-06,2,53.85
149,428,2020-10-13,2,49.85
150,1567,2023-10-21,2,29.16
151,133,2022-08-07,2,37.4
152,969,2025-01-20,2,34.43
153,1753,2022-10-01,2,34.59
154,310,2022-10-12,2,37.58
155,1222,2021-04-25,2,58.34
156,746,2021-09-14,2,36.51
157,1885,2021-07-25,2,34.97
158,1459,2020-03-27,2,43.01
159,1171,2020-05-23,2,39.08
160,215,2023-08-18,2,40.04
161,688,2022-07-13,2,27.38
162,1917,2022-07-17,2,54.53
163,1530,2023-04-16,2,32.53
164,1370,2020-08-27,2,48.44
165,635,2021-03-05,2,39.66
166,283,2023-01-16,2,49.89
167,1159,2020-03-22,2,33.61
168,567,2021-03-13,2,39.76
169,660,2021-02-02,2,49.98
170,918,2020-02-02,2,22.79
171,1681,2020-12-20,2,25.01
172,1088,2023-02-24,2,32.8
173,392,2024-11-08,2,54.72
174,1868,2022-07-17,2,31.37
175,569,2020-08-28,2,46.71
176,423,2024-04-29,2,53.8
177,1439,2023-06-30,2,42.79
178,1759,2024-09-27,2,31.8
179,455,2022-07-28,2,50.09
180,709,2024-11-23,2,37.6
181,1250,2024-07-28,2,23.75
182,1409,2020-03-09,2,35.21
183,278,2023-02-02,2,39.2
184,109,2023-02-28,2,38.22
185,1495,2024-05-10,2,39.36
186,944,2020-03-01,2,39.27
187,387,2021-08-14,2,53.66
188,1649,2024-04-09,2,41.82
189,524,2022-11-13,2,16.11
190,1614,2023-05-11,2,39.25
191,610,2023-01-11,2,30.83
192,620,2020-12-27,2,57.1
193,423,2020-12-14,2,30.28
194,1563,2024-04-21,2,26.19
195,271,2020-07-09,2,35.97
196,417,2023-05-27,2,21.12
197,202,2024-02-29,2,76.96
198,487,2023-08-03,2,57.99
199,196,2022-08-06,2,32.42
200,1562,2021-02-26,2,29.91
201,703,2022-08-29,2,17.38
202,690,2022-02-24,2,37.29
203,381,2020-05-21,2,29.99
204,1768,2021-04-28,2,44.44
205,1852,2022-09-28,2,20.36
206,1291,2024-01-18,2,33.45
207,683,2023-04-01,2,26.47
208,495,2024-11-30,2,55.87
209,292,2020-12-30,2,36.38
210,276,2022-06-22,2,25.51
211,1262,2021-07-29,2,63.93
212,265,2022-10-27,2,19.42
213,1235,2024-10-13,2,23.61
214,1891,2022-06-30,2,56.67
215,1475,2023-06-06,2,28.79
216,521,2022-01-27,2,30.76
217,755,2021-09-30,2,34.22
218,1627,2022-12-25,2,40.97
219,205,2024-05-15,2,35.04
